locustag,asmid,species_name,phylum,subphylum,class,order,family,genus,total_proteins,adhesion_count,adhesion_fraction,mean_adhesion_prob,median_adhesion_prob
FF5840CF,GCF_010015735.1_Aaoar1,Aaosphaeria arxii,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,,Aaosphaeria,11798,180,0.01525682319037125,0.83468,0.88025
F2EE6837,GCA_022813625.1_ASM2281362v1,Aaosphaeria pasadenensis,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,,Aaosphaeria,12244,178,0.014537732767069584,0.8325893258426966,0.8824000000000001
F6291E57,GCA_022606235.1_Abobie1,Abortiporus biennis,Basidiomycota,Agaricomycotina,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,9766,115,0.011775547818963752,0.8187513043478261,0.8391
F07B100A,GCA_900079185.1_AG_v1,Absidia glauca,Mucoromycota,Mucoromycotina,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,12858,75,0.005832944470368642,0.7908906666666666,0.8076
FD115048,GCA_019677225.1_ASM1967722v1,Absidia healeyae,Mucoromycota,Mucoromycotina,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,13353,91,0.006814947951771138,0.7843615384615384,0.8166
FEBF3DD9,GCA_002105175.1_Absrep1,Absidia repens,Mucoromycota,Mucoromycotina,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,13656,92,0.006736965436438196,0.7960097826086956,0.8130999999999999
F35F2201,GCA_019677255.1_ASM1967725v1,Absidia sp. UoMAU379,Mucoromycota,Mucoromycotina,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,13975,244,0.01745974955277281,0.8280020491803278,0.85755
F6F9F3CD,GCF_003144295.1_Acain1,Acaromyces ingoldii,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,Exobasidiales,Cryptobasidiaceae,Acaromyces,7070,51,0.0072135785007072135,0.8075137254901961,0.8605
F2E7168E,GCA_022814355.1_ASM2281435v1,Acarospora aff. strigata,Ascomycota,Pezizomycotina,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,7999,94,0.011751468933616702,0.8648797872340426,0.9177500000000001
FA57834A,GCA_025617375.2_glAcaSoci1.1,Acarospora socialis,Ascomycota,Pezizomycotina,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,8562,106,0.012380284980144826,0.8615981132075472,0.948
F46AF962,GCA_004114255.1_ASM411425v1,Acaulopage tetraceros,Zoopagomycota,Zoopagomycotina,Zoopagomycetes,Zoopagales,Zoopagaceae,Acaulopage,5812,111,0.019098417068134893,0.8220621621621621,0.8745
F7D7056F,GCA_910592055.1_Acaulospora_colombiana_CL356,Acaulospora colombiana,Mucoromycota,Glomeromycotina,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,34405,144,0.0041854381630576955,0.8291361111111111,0.87975
FD1E6533,GCA_910591835.1_Acaulospora_morrowiae_CL551,Acaulospora morrowiae,Mucoromycota,Glomeromycotina,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,29859,290,0.0097123145450283,0.829708275862069,0.8734500000000001
F74D2E4C,GCA_014904845.1_Acema1,Acephala macrosclerotiorum,Ascomycota,Pezizomycotina,Leotiomycetes,Helotiales,Mollisiaceae,Acephala,16631,276,0.01659551440081775,0.8524753623188406,0.923
FE89BD6F,GCA_031001845.1_ASM3100184v1,Achaetomiella virescens,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariales,Chaetomiaceae,Achaetomiella,7967,105,0.013179364880130539,0.8158190476190477,0.8624
F0443DCA,GCA_033296875.1_Achma1,Achaetomium macrosporum,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariales,Chaetomiaceae,Achaetomium,10054,129,0.012830714143624428,0.8227542635658914,0.8728
F6D375A1,GCA_030579395.1_ASM3057939v1,Aciculoconidium aculeatum,Ascomycota,Saccharomycotina,Pichiomycetes,Serinales,Debaryomycetaceae,Aciculoconidium,5900,73,0.012372881355932203,0.9213178082191781,0.9923
F4FC39BC,GCA_000222935.2_AciTa_1.0,Aciculosporium take,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreales,Clavicipitaceae,Aciculosporium,6939,69,0.009943795936013834,0.8806710144927536,0.9447
F686C401,GCA_019670975.1_ASM1967097v1,Acidiella bohemica,Ascomycota,Pezizomycotina,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Acidiella,8969,102,0.011372505296019624,0.8600039215686275,0.9229
F65D1F27,GCA_003545705.1_ASM354570v1,Acidomyces sp. 'richmondensis',Ascomycota,Pezizomycotina,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,8370,94,0.011230585424133811,0.8567882978723405,0.93045
FD430BD2,GCA_021347865.1_ASM2134786v1,Sarocladiaceae sp. CBMAI 1973,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreales,Sarocladiaceae,,12588,231,0.01835081029551954,0.8271601731601732,0.8748
F6B21F09,GCA_020087035.1_ASM2008703v1,Acremonium sp. FKII-L8-BK-P5,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreales,,Acremonium,10388,155,0.014921062764728533,0.837223870967742,0.8975
F289AF5C,GCA_028476805.1_ASM2847680v1,Acrocalymma vagum,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporales,Morosphaeriaceae,Acrocalymma,15605,244,0.0156360140980455,0.8540434426229508,0.9227000000000001
F1CE3959,GCA_033807595.1_ASM3380759v1,Acrodontium crateriforme,Ascomycota,Pezizomycotina,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Acrodontium,8402,121,0.014401333015948583,0.8488636363636364,0.9343
F9D4E4C8,GCA_016098155.1_UCR_MambBC1055_1.0,Actinomortierella ambigua,Mucoromycota,Mortierellomycotina,Mortierellomycetes,Mortierellales,Mortierellaceae,Actinomortierella,10031,117,0.01166384208952248,0.7785837606837607,0.8158
FAB251FE,GCA_016098105.1_UCR_MwolfiiNRRL6351_1.0,Actinomortierella wolfii,Mucoromycota,Mortierellomycotina,Mortierellomycetes,Mortierellales,Mortierellaceae,Actinomortierella,8897,64,0.007193435989659436,0.7841671875,0.79845
FD969266,GCA_026027325.1_ASM2602732v1,Actinomucor elegans,Mucoromycota,Mucoromycotina,Mucoromycetes,Mucorales,Mucoraceae,Actinomucor,9938,81,0.008150533306500302,0.7942111111111111,0.8004
FD68B63E,GCA_004216415.1_S18-22,Aeminium ludgeri,Ascomycota,Pezizomycotina,Dothideomycetes,Mycosphaerellales,Aeminiaceae,Aeminium,8142,110,0.013510194055514615,0.8723172727272728,0.9462999999999999
F9CCCC79,GCA_038094355.1_BD703-Stobilomyces-lepidellus,Afroboletus lepidellus,Basidiomycota,Agaricomycotina,Agaricomycetes,Boletales,Boletaceae,Afroboletus,12829,95,0.007405097825239691,0.8136884210526316,0.8615
F165E458,GCA_002718315.1_ASM271831v1,Agaricales sp. HM26-F1,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,,,9698,136,0.01402351000206228,0.7884176470588236,0.7939499999999999
F980D92C,GCA_000300575.2_ASM30057v2,Agaricus bisporus,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,8761,60,0.006848533272457482,0.817635,0.86205
F8F2286A,GCA_030246685.1_ASM3024668v1,Agaricus bitorquis,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,8491,59,0.006948533741608762,0.8201338983050848,0.8575
FF9D1BC6,GCA_029719445.1_ASM2971944v1,Agaricus blazei,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,10091,80,0.007927856505797245,0.839225,0.89105
FA5C54A1,GCA_022315185.1_ASM2231518v1,Agaricus sinodeliciosus,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,8065,56,0.0069435833849969,0.8137464285714285,0.86785
F50AC181,GCA_029945375.1_Asub-V01,Agaricus subrufescens,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,11870,102,0.008593091828138163,0.8369892156862745,0.9082
FD80AAA3,GCA_018343915.1_ASM1834391v1,Agroathelia rolfsii,Basidiomycota,Agaricomycotina,Agaricomycetes,Amylocorticiales,Amylocorticiaceae,Agroathelia,9459,138,0.014589280050745322,0.8376115942028985,0.9013
F3B668AA,GCA_027627235.1_Agrocybe_chaxingu_MP-N11_reassembly,Agrocybe chaxingu,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,11468,76,0.006627136379490757,0.8089894736842105,0.87565
FCCA35C8,GCA_013376435.1_ASM1337643v1,Agrocybe cylindracea,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,13592,103,0.007577987051206592,0.8325796116504854,0.908
